Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,1,2,1,2,Female,3,2,Sales Executive,4,Single,Yes,3,1,0,1,6,5
49,No,Travel_Frequently,279,8,1,2,3,Male,2,2,Research Scientist,2,Married,No,4,4,3,3,10,7
37,Yes,Travel_Rarely,1373,2,2,4,4,Male,2,1,Laboratory Technician,3,Single,Yes,3,2,3,3,0,0
33,No,Travel_Frequently,1392,3,4,5,4,Female,3,1,Research Scientist,3,Married,Yes,3,3,3,3,8,0
27,No,Travel_Rarely,591,2,1,7,1,Male,3,1,Laboratory Technician,2,Married,No,3,4,3,3,2,2
32,No,Travel_Frequently,1005,2,2,8,4,Male,3,1,Laboratory Technician,4,Single,No,3,3,2,2,7,6
59,No,Travel_Rarely,1324,3,3,10,3,Female,4,1,Laboratory Technician,1,Married,Yes,4,1,3,2,1,0
30,No,Travel_Rarely,1358,24,1,11,4,Male,3,1,Laboratory Technician,3,Divorced,No,4,2,2,3,1,0
38,No,Travel_Frequently,216,23,3,12,4,Male,2,3,Manufacturing Director,3,Single,No,4,2,2,3,9,8
36,No,Travel_Rarely,1299,27,3,13,3,Male,3,2,Healthcare Representative,3,Married,No,3,2,3,2,7,7
35,No,Travel_Rarely,809,16,3,14,1,Male,4,1,Laboratory Technician,2,Married,No,3,3,5,3,5,3
29,No,Travel_Rarely,153,15,2,15,4,Female,2,2,Laboratory Technician,3,Single,Yes,3,4,3,3,9,8
31,No,Travel_Rarely,670,26,1,16,1,Male,3,1,Research Scientist,3,Divorced,No,3,4,1,2,5,3
34,No,Travel_Rarely,1346,19,2,18,2,Male,3,1,Laboratory Technician,4,Divorced,No,3,3,2,3,2,2
28,Yes,Travel_Rarely,103,24,3,19,3,Male,2,1,Laboratory Technician,3,Single,Yes,3,2,4,3,4,3
29,No,Travel_Rarely,1389,21,4,20,2,Female,4,3,Manufacturing Director,1,Divorced,No,3,3,1,3,10,8
32,No,Travel_Rarely,334,5,2,21,1,Male,4,1,Research Scientist,2,Divorced,Yes,3,4,5,2,6,5
22,No,Non-Travel,1123,16,2,22,4,Male,4,1,Laboratory Technician,4,Divorced,Yes,3,2,2,2,1,0
53,No,Travel_Rarely,1219,2,4,23,1,Female,2,4,Manager,4,Married,No,3,3,3,3,25,7
38,No,Travel_Rarely,371,2,3,24,4,Male,3,1,Research Scientist,4,Single,Yes,3,3,3,3,3,2
24,No,Non-Travel,673,11,2,26,1,Female,4,2,Manufacturing Director,3,Divorced,No,3,4,5,2,4,3
36,Yes,Travel_Rarely,1218,9,4,27,3,Male,2,1,Sales Representative,1,Single,No,4,2,4,3,5,3
34,No,Travel_Rarely,419,7,4,28,1,Female,3,3,Research Director,2,Single,No,3,3,4,3,12,11
21,No,Travel_Rarely,391,15,2,30,3,Male,3,1,Research Scientist,4,Single,No,3,4,6,3,0,0
34,Yes,Travel_Rarely,699,6,1,31,2,Male,3,1,Research Scientist,1,Single,No,3,3,2,3,4,3
53,No,Travel_Rarely,1282,5,3,32,3,Female,3,5,Manager,3,Divorced,No,3,4,3,2,14,8
32,Yes,Travel_Frequently,1125,16,1,33,2,Female,1,1,Research Scientist,1,Single,Yes,4,2,5,3,10,7
42,No,Travel_Rarely,691,8,4,35,3,Male,3,2,Sales Executive,2,Married,No,3,4,2,3,9,2
44,No,Travel_Rarely,477,7,4,36,1,Female,2,3,Healthcare Representative,4,Married,No,3,4,4,3,22,17
46,No,Travel_Rarely,705,2,4,38,2,Female,3,5,Manager,1,Single,No,3,4,2,2,2,1
33,No,Travel_Rarely,924,2,3,39,3,Male,3,1,Laboratory Technician,4,Single,No,3,4,3,3,1,0
44,No,Travel_Rarely,1459,10,4,40,4,Male,3,2,Healthcare Representative,4,Married,Yes,3,4,5,4,4,3
30,No,Travel_Rarely,125,9,2,41,4,Male,2,1,Laboratory Technician,3,Single,No,3,1,5,3,10,8
39,Yes,Travel_Rarely,895,5,3,42,4,Male,3,2,Sales Representative,4,Married,No,3,3,6,4,1,0
24,Yes,Travel_Rarely,813,1,3,45,2,Male,3,1,Research Scientist,4,Married,Yes,3,1,2,2,2,0
43,No,Travel_Rarely,1273,2,2,46,4,Female,4,1,Research Scientist,3,Divorced,No,3,4,3,2,5,4
50,Yes,Travel_Rarely,869,3,2,47,1,Male,2,1,Sales Representative,3,Married,Yes,3,3,2,3,3,2
35,No,Travel_Rarely,890,2,3,49,4,Female,3,1,Sales Representative,4,Married,No,3,1,3,3,2,2
36,No,Travel_Rarely,852,5,4,51,2,Female,2,1,Research Scientist,1,Married,Yes,3,4,3,4,1,0
33,No,Travel_Frequently,1141,1,3,52,3,Female,4,2,Sales Executive,1,Married,No,3,1,3,3,5,3
35,No,Travel_Rarely,464,4,2,53,3,Male,3,1,Laboratory Technician,4,Divorced,No,3,3,3,3,1,0
27,No,Travel_Rarely,1240,2,4,54,4,Female,3,1,Laboratory Technician,1,Divorced,No,3,4,6,3,1,0
26,Yes,Travel_Rarely,1357,25,3,55,1,Male,1,1,Laboratory Technician,3,Single,No,3,3,2,2,1,1
27,No,Travel_Frequently,994,8,3,56,4,Male,3,3,Sales Executive,3,Single,No,3,4,0,3,9,7
30,No,Travel_Frequently,721,1,2,57,3,Female,3,2,Laboratory Technician,4,Single,No,4,4,2,3,12,7
41,Yes,Travel_Rarely,1360,12,3,58,2,Female,3,5,Research Director,3,Married,No,3,4,0,3,22,8
34,No,Non-Travel,1065,23,4,60,2,Male,3,2,Sales Executive,3,Single,No,4,3,2,3,9,7
37,No,Travel_Rarely,408,19,2,61,2,Male,3,1,Research Scientist,2,Married,No,4,1,1,3,1,0
46,No,Travel_Frequently,1211,5,4,62,1,Male,3,2,Sales Executive,4,Single,Yes,4,3,4,3,9,8
35,No,Travel_Rarely,1229,8,1,63,4,Male,4,1,Laboratory Technician,4,Married,No,3,4,2,3,1,1
48,Yes,Travel_Rarely,626,1,2,64,1,Male,2,3,Laboratory Technician,3,Single,Yes,3,4,2,3,1,0
28,Yes,Travel_Rarely,1434,5,4,65,3,Male,3,1,Laboratory Technician,3,Single,Yes,3,3,3,2,2,2
44,No,Travel_Rarely,1488,1,5,68,2,Female,3,2,Sales Executive,1,Divorced,Yes,4,3,2,2,4,3
35,No,Non-Travel,1097,11,2,70,3,Male,2,3,Healthcare Representative,1,Married,Yes,3,3,3,3,4,3
26,No,Travel_Rarely,1443,23,3,72,3,Female,2,2,Sales Executive,4,Married,Yes,3,3,2,2,2,0
33,No,Travel_Frequently,515,1,2,73,1,Female,3,3,Research Director,4,Single,Yes,3,3,1,3,15,12
35,No,Travel_Frequently,853,18,5,74,2,Male,3,3,Sales Executive,1,Married,No,4,4,3,2,9,8
35,No,Travel_Rarely,1142,23,4,75,3,Female,3,1,Laboratory Technician,1,Married,Yes,3,3,3,3,2,2
31,No,Travel_Rarely,655,7,4,76,4,Male,3,2,Laboratory Technician,4,Divorced,No,4,4,3,2,7,7
37,No,Travel_Rarely,1115,1,4,77,1,Male,2,2,Manufacturing Director,3,Divorced,No,3,3,2,4,7,7
32,No,Travel_Rarely,427,1,3,78,1,Male,3,2,Manufacturing Director,4,Married,Yes,4,2,3,3,9,8
38,No,Travel_Frequently,653,29,5,79,4,Female,3,2,Laboratory Technician,4,Single,No,3,4,2,3,10,9
50,No,Travel_Rarely,989,7,2,80,2,Female,2,5,Research Director,3,Divorced,Yes,3,4,2,2,27,8
59,No,Travel_Rarely,1435,25,3,81,1,Female,3,3,Sales Executive,1,Single,No,3,4,3,2,21,9
36,No,Travel_Rarely,1223,8,3,83,3,Female,3,3,Healthcare Representative,3,Divorced,No,3,2,2,3,17,8
55,No,Travel_Rarely,836,8,3,84,4,Female,3,4,Manager,3,Divorced,Yes,3,3,2,3,5,2
36,No,Travel_Frequently,1195,11,3,85,2,Male,2,2,Manufacturing Director,2,Single,No,3,3,3,3,6,3
45,No,Travel_Rarely,1339,7,3,86,2,Male,3,3,Research Scientist,1,Divorced,No,3,3,2,3,1,0
35,No,Travel_Frequently,664,1,3,88,2,Male,3,1,Research Scientist,1,Married,No,3,4,2,2,3,2
36,Yes,Travel_Rarely,318,9,3,90,4,Male,2,1,Research Scientist,3,Married,Yes,3,1,0,2,1,0
59,No,Travel_Frequently,1225,1,1,91,1,Female,2,2,Sales Executive,3,Single,No,3,4,2,2,4,3
29,No,Travel_Rarely,1328,2,3,94,3,Male,3,1,Research Scientist,2,Married,No,4,4,3,3,5,4
31,No,Travel_Rarely,1082,1,4,95,3,Male,3,1,Research Scientist,2,Single,No,3,2,4,3,1,0
32,No,Travel_Rarely,548,1,3,96,2,Male,3,2,Research Scientist,2,Married,No,3,2,3,3,10,9
36,No,Travel_Rarely,132,6,3,97,2,Female,4,1,Laboratory Technician,4,Married,No,3,2,3,3,1,0
31,No,Travel_Rarely,746,8,4,98,3,Female,3,2,Manufacturing Director,4,Single,No,4,4,2,3,11,8
35,No,Travel_Rarely,776,1,4,100,3,Male,2,2,Sales Executive,1,Single,No,3,2,2,3,15,8
45,No,Travel_Rarely,193,6,4,101,4,Male,3,3,Research Director,1,Married,Yes,3,2,3,4,0,0
37,No,Travel_Rarely,397,7,4,102,1,Male,3,3,Research Director,3,Single,No,3,1,3,4,5,2
46,No,Travel_Rarely,945,5,2,103,2,Male,3,2,Human Resources,2,Divorced,Yes,4,4,2,3,4,2
30,No,Travel_Rarely,852,1,1,104,4,Male,2,2,Laboratory Technician,4,Married,Yes,3,3,1,2,10,0
